date,pm10,pm2.5
1/1/15,13.629,22.206
2/1/15,9.102,17.577
3/1/15,19.386,32.931
4/1/15,14.751,26.274
5/1/15,13.524,24.797
6/1/15,9.121,18.618
7/1/15,7.808,14.813
8/1/15,16.255,30.633
9/1/15,9.696,20.085
10/1/15,10.079,20.404
11/1/15,18.21,39.044
12/1/15,11.35,26.508
13/1/15,15.064,39.354
14/1/15,10.813,31.608
15/1/15,15.81,41.915
16/1/15,22.069,49.656
17/1/15,46.611,71.696
18/1/15,39.933,61.473
19/1/15,25.755,40.091
20/1/15,15.134,25.954
21/1/15,18.402,33.877
22/1/15,16.87,27.952
23/1/15,21.479,33.537
24/1/15,13.814,25.745
25/1/15,8.723,17.709
26/1/15,13.317,29.886
27/1/15,25.906,49.81
28/1/15,16.82,41.427
29/1/15,20.4,45.9
30/1/15,14.54,22.326
31/1/15,11.451,22.668
1/2/15,10.931,23.931
2/2/15,11.142,24.572
3/2/15,11.338,24.885
4/2/15,13.532,31.978
5/2/15,14.242,38.209
6/2/15,12.622,35.695
7/2/15,17.069,34.316
8/2/15,15.449,26.749
9/2/15,25.338,46.379
10/2/15,16.817,35.691
11/2/15,22.355,47.343
12/2/15,14.094,27.421
13/2/15,15.046,25.652
14/2/15,10.654,15.808
15/2/15,13.022,22.987
16/2/15,18.469,44.185
17/2/15,23.269,53.263
18/2/15,14.481,35.336
19/2/15,9.191,20.161
20/2/15,13.75,34.149
21/2/15,17.168,35.703
22/2/15,17.738,33.073
23/2/15,18.997,41.64
24/2/15,17.674,51.086
25/2/15,24.227,39.128
26/2/15,15.669,34.5
27/2/15,13.682,36.245
28/2/15,12.655,25
1/3/15,15.52,33.75
2/3/15,14.96,38.81
3/3/15,61.69,105.07
4/3/15,18.71,47.69
5/3/15,18.09,44.87
6/3/15,26.25,59.79
7/3/15,18.1,38.91
8/3/15,19.38,35.99
9/3/15,28.21,65.17
10/3/15,11.76,36.46
11/3/15,17.73,44.66
12/3/15,26.35,57.35
13/3/15,29.36,64.82
14/3/15,19.4,42.43
15/3/15,18.55,37.97
16/3/15,28.02,50.13
17/3/15,26.22,46.44
18/3/15,nan,76.06
19/3/15,36.02,78.45
20/3/15,33.81,72.35
21/3/15,27.71,47.35
22/3/15,31.04,49.97
23/3/15,28.7,59.79
24/3/15,21.8,55.58
25/3/15,43.38,78.8
26/3/15,16.15,35.37
27/3/15,24.37,54.09
28/3/15,24.48,42.63
29/3/15,23.21,38.7
30/3/15,17.73,28.76
31/3/15,26.81,41.76
1/4/15,23.127,38.688
2/4/15,26.283,42.128
3/4/15,23.621,40.64
4/4/15,13.842,25.222
5/4/15,27.193,43.586
6/4/15,16.417,31.315
7/4/15,12.469,25.998
8/4/15,21.06,39.67
9/4/15,17.955,32.338
10/4/15,17.086,32.85
11/4/15,13.503,23.583
12/4/15,25.54,41.475
13/4/15,29.536,47.642
14/4/15,26.578,42.923
15/4/15,16.38,24.271
16/4/15,15.073,24.249
17/4/15,17.223,26.487
18/4/15,14.388,23.422
19/4/15,16.645,25.034
20/4/15,22.876,35.497
21/4/15,28.616,41.827
22/4/15,14.668,23.268
23/4/15,19.701,35.148
24/4/15,21.566,36.025
25/4/15,15.928,28.713
26/4/15,19.709,37.487
27/4/15,26.358,44.626
28/4/15,19.215,29.971
29/4/15,20.924,33.611
30/4/15,18.104,30.147
1/5/15,20.051,30.022
2/5/15,17.343,26.526
3/5/15,16.754,24.707
4/5/15,11.482,19.057
5/5/15,13.216,26.305
6/5/15,14.928,23.639
7/5/15,24.244,37.885
8/5/15,25.623,38.258
9/5/15,18.905,27.741
10/5/15,19.222,28.958
11/5/15,23.948,34.911
12/5/15,17.657,27.085
13/5/15,16.459,27.848
14/5/15,23.292,37.673
15/5/15,25.194,42.373
16/5/15,11.26,20.295
17/5/15,12.556,20.459
18/5/15,22.202,36.376
19/5/15,18.764,32.964
20/5/15,18.849,30.905
21/5/15,17.439,36.284
22/5/15,23.401,42.593
23/5/15,26.35,43.831
24/5/15,20.862,33.336
25/5/15,21.011,38.305
26/5/15,25.675,42.567
27/5/15,18.043,27.351
28/5/15,20.075,33.856
29/5/15,24.104,38.643
30/5/15,22.637,36.263
31/5/15,24.867,39.348
1/6/15,24.062,51.043
2/6/15,19.168,44.467
3/6/15,12.884,29.455
4/6/15,20.487,39.256
5/6/15,21.168,38.541
6/6/15,17.387,27.123
7/6/15,18.764,28.978
8/6/15,19.08,40.085
9/6/15,17.41,28.967
10/6/15,13.115,32.461
11/6/15,12.127,29.101
12/6/15,23.694,35.59
13/6/15,13.703,23.175
14/6/15,13.945,21.896
15/6/15,12.182,21.374
16/6/15,14.138,26.07
17/6/15,13.773,25.321
18/6/15,27.373,44.93
19/6/15,25.935,45.538
20/6/15,20.142,31.209
21/6/15,20.22,32.669
22/6/15,30.394,53.405
23/6/15,18.312,33.336
24/6/15,20.699,30.41
25/6/15,20.681,30.94
26/6/15,14.985,23.885
27/6/15,14.776,25.186
28/6/15,20.114,32.789
29/6/15,24.543,38.19
30/6/15,19.832,33.876
1/7/15,28.173,50.627
2/7/15,20.795,39.862
3/7/15,23.265,38.598
4/7/15,23.48,38.236
5/7/15,17.886,33.77
6/7/15,22.385,44.53
7/7/15,29.076,48.721
8/7/15,25.053,49.766
9/7/15,23.61,49.235
10/7/15,19.96,35.618
11/7/15,9.783,30.806
12/7/15,15.551,31.338
13/7/15,17.458,34.139
14/7/15,23.059,44.923
15/7/15,24.738,49.744
16/7/15,25.297,41.062
17/7/15,19.279,28.942
18/7/15,23.971,35.847
19/7/15,15.982,27.642
20/7/15,27.915,55.804
21/7/15,27.729,56.296
22/7/15,17.953,28.098
23/7/15,24.791,37.41
24/7/15,23.148,38.613
25/7/15,19.851,29.251
26/7/15,15.582,23.793
27/7/15,19.313,29.912
28/7/15,14.402,27.679
29/7/15,16.603,26.073
30/7/15,17.138,30.408
31/7/15,20.273,32.033
1/8/15,18.374,28.585
2/8/15,13.797,22.657
3/8/15,19.257,32.244
4/8/15,20.08,31.045
5/8/15,23.227,34.949
6/8/15,25.931,38.893
7/8/15,31.75,49.377
8/8/15,nan,nan
9/8/15,nan,nan
10/8/15,nan,nan
11/8/15,nan,nan
12/8/15,28.602,47.067
13/8/15,18.553,34.831
14/8/15,18.272,32.038
15/8/15,22.608,32.545
16/8/15,15.941,24.404
17/8/15,16.7,26.996
18/8/15,22.094,36.192
19/8/15,35.022,49.747
20/8/15,34.386,52.065
21/8/15,37.915,84.979
22/8/15,34.53,59.357
23/8/15,26.448,43.909
24/8/15,23.802,35.928
25/8/15,25.283,44.963
26/8/15,26.641,42.366
27/8/15,25.765,48.062
28/8/15,24.453,48.225
29/8/15,32.508,47.092
30/8/15,21.567,31.754
31/8/15,30.609,42.634
1/9/15,27.286,43.884
2/9/15,24.298,51.144
3/9/15,24.962,45.297
4/9/15,18.742,30.423
5/9/15,19.525,27.362
6/9/15,24.107,31.254
7/9/15,32.096,44.464
8/9/15,31.323,46.124
9/9/15,33.328,53.66
10/9/15,31.629,47.735
11/9/15,33.294,48.744
12/9/15,31.88,42.323
13/9/15,nan,41.411
14/9/15,nan,27.954
15/9/15,nan,26.959
16/9/15,nan,35.667
17/9/15,nan,51.9
18/9/15,nan,172.128
19/9/15,nan,43.372
20/9/15,nan,23.43
21/9/15,nan,33.988
22/9/15,nan,52.278
23/9/15,nan,75.621
24/9/15,nan,75.122
25/9/15,nan,45.612
26/9/15,nan,58.485
27/9/15,nan,53.721
28/9/15,nan,65.033
29/9/15,nan,67.794
30/9/15,36.186,49.7
1/10/15,28.299,39.715
2/10/15,47.808,54.911
3/10/15,37.211,42.388
4/10/15,20.718,26.669
5/10/15,17.94,22.777
6/10/15,24.42,30.724
7/10/15,23.129,28.259
8/10/15,23.715,31.227
9/10/15,21.589,28.056
10/10/15,18.131,23.322
11/10/15,17.453,19.623
12/10/15,19.043,25.553
13/10/15,16.481,21.814
14/10/15,40.545,50.296
15/10/15,40.025,48.607
16/10/15,31.849,40.843
17/10/15,67.736,76.365
18/10/15,62.229,69.743
19/10/15,68.701,83.339
20/10/15,58.454,70.546
21/10/15,69.052,75.138
22/10/15,nan,93.773
23/10/15,nan,83.921
24/10/15,66.074,65.526
25/10/15,38.904,42.919
26/10/15,37.162,42.69
27/10/15,30.264,35.727
28/10/15,27.626,33.438
29/10/15,32.364,37.95
30/10/15,23.126,27.293
31/10/15,20.525,22.665
1/11/15,12.936,14.779
2/11/15,14.452,18.627
3/11/15,14.603,nan
4/11/15,17.088,nan
5/11/15,15.906,nan
6/11/15,26.876,nan
7/11/15,17.136,nan
8/11/15,19.761,nan
9/11/15,19.688,nan
10/11/15,19.693,nan
11/11/15,23.148,nan
12/11/15,21.945,nan
13/11/15,23.963,nan
14/11/15,19.461,nan
15/11/15,18.278,nan
16/11/15,24.754,nan
17/11/15,19.922,nan
18/11/15,nan,nan
19/11/15,nan,nan
20/11/15,nan,nan
21/11/15,nan,nan
22/11/15,nan,nan
23/11/15,nan,nan
24/11/15,nan,nan
25/11/15,nan,nan
26/11/15,nan,nan
27/11/15,nan,nan
28/11/15,17.745,nan
29/11/15,15.98,nan
30/11/15,14.583,nan
1/12/15,26.635,nan
2/12/15,nan,nan
3/12/15,nan,nan
4/12/15,nan,nan
5/12/15,nan,nan
6/12/15,nan,nan
7/12/15,nan,nan
8/12/15,nan,nan
9/12/15,25.304,nan
10/12/15,36.694,nan
11/12/15,39.865,nan
12/12/15,25.148,nan
13/12/15,19.513,nan
14/12/15,23.43,nan
15/12/15,17.786,nan
16/12/15,25.126,nan
17/12/15,26.595,nan
18/12/15,19.635,nan
19/12/15,9.04,nan
20/12/15,17.983,nan
21/12/15,17.793,nan
22/12/15,18.332,nan
23/12/15,29.952,nan
24/12/15,32.343,nan
25/12/15,17.088,nan
26/12/15,22.297,nan
27/12/15,15.08,nan
28/12/15,15.827,nan
29/12/15,21.591,nan
30/12/15,24.902,nan
31/12/15,15.347,nan
